vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
UConn Huskies,Connecticut,Connecticut,41.0,UConn,UConn,Connecticut,Connecticut,Connecticut,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/192px-Connecticut_Huskies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png
Houston Cougars,Houston,Houston,248.0,Houston,Houston,Houston,Houston,Houston,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/252px-Houston_Cougars_primary_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png
Purdue Boilermakers,Purdue,Purdue,2509.0,Purdue,Purdue,Purdue,Purdue,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/320px-Purdue_Boilermakers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png
Arizona Wildcats,Arizona,Arizona,12.0,Arizona,Arizona,Arizona,Arizona,Arizona,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/200px-Arizona_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png
Tennessee Volunteers,Tennessee,Tennessee,2633.0,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png
North Carolina Tar Heels,North Carolina,North Carolina,153.0,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/304px-North_Carolina_Tar_Heels_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png
Duke Blue Devils,Duke,Duke,150.0,Duke,Duke,Duke,Duke,Duke,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/200px-Duke_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png
Creighton Bluejays,Creighton,Creighton,156.0,Creighton,Creighton,Creighton,Creighton,Creighton,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/238px-Creighton_Bluejays_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png
Marquette Golden Eagles,Marquette,Marquette,269.0,Marquette,Marquette,Marquette,Marquette,Marquette,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Marquette_Golden_Eagles_logo.svg/320px-Marquette_Golden_Eagles_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png
Auburn Tigers,Auburn,Auburn,2.0,Auburn,Auburn,Auburn,Auburn,Auburn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/200px-Auburn_Tigers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png
Illinois Fighting Illini,Illinois,Illinois,356.0,Illinois,Illinois,Illinois,Illinois,Illinois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/166px-Illinois_Fighting_Illini_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png
Alabama Crimson Tide,Alabama,Alabama,333.0,Alabama,Alabama,Alabama,Alabama,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/200px-Alabama_Crimson_Tide_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png
Iowa State Cyclones,Iowa St.,Iowa State,66.0,Iowa St.,Iowa St.,Iowa St,Iowa St.,Iowa St.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/320px-Iowa_State_Cyclones_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png
Kansas Jayhawks,Kansas,Kansas,2305.0,Kansas,Kansas,Kansas,Kansas,Kansas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Kansas_Jayhawks_1946_logo.svg/1920px-Kansas_Jayhawks_1946_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png
Baylor Bears,Baylor,Baylor,239.0,Baylor,Baylor,Baylor,Baylor,Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/2018_Baylor_Athletics_Logo.png/208px-2018_Baylor_Athletics_Logo.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
Kentucky Wildcats,Kentucky,Kentucky,96.0,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/293px-Kentucky_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png
BYU Cougars,BYU,BYU,252.0,BYU,BYU,BYU,BYU,BYU,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/BYU_Cougars_logo.svg/320px-BYU_Cougars_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png
Florida Gators,Florida,Florida,57.0,Florida,Florida,Florida,Florida,Florida,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/320px-Florida_Gators_gator_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png
Michigan St Spartans,Michigan St.,Michigan State,127.0,Michigan St.,Michigan St.,Michigan St,Michigan St.,Michigan St.,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/208px-Michigan_State_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png
San Diego St Aztecs,San Diego St.,San Diego St.,21.0,San Diego St.,San Diego St.,San Diego St,San Diego St.,San Diego St.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/320px-San_Diego_State_Aztecs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png
Gonzaga Bulldogs,Gonzaga,Gonzaga,2250.0,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Gonzaga_Bulldogs_logo.svg/301px-Gonzaga_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png
Saint Mary's Gaels,Saint Mary's,Saint Mary's,2608.0,Saint Mary's (CA),Saint Mary's (CA),St Mary's CA,Saint Mary's,Saint Mary's,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/300px-Saint_Mary%27s_College_Gaels_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png
Washington St Cougars,Washington St,Washington St,265.0,Washington State,Washington St.,Washington St,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Washington_State_Cougars_logo.svg/252px-Washington_State_Cougars_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png
South Carolina Gamecocks,South Carolina,South Carolina,2579.0,South Carolina,South Carolina,South Carolina,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/219px-South_Carolina_Gamecocks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png
Mississippi St Bulldogs,Mississippi St.,Mississippi St.,344.0,Mississippi St.,Mississippi St.,Mississippi St,Mississippi St.,Mississippi St.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mississippi_State_Bulldogs_logo.svg/320px-Mississippi_State_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png
Clemson Tigers,Clemson,Clemson,228.0,Clemson,Clemson,Clemson,Clemson,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/251px-Clemson_Tigers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png
Texas Tech Red Raiders,Texas Tech,Texas Tech,2641.0,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/207px-Texas_Tech_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png
TCU Horned Frogs,TCU,TCU,2628.0,TCU,TCU,TCU,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png
Wisconsin Badgers,Wisconsin,Wisconsin,275.0,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Wisconsin_Badgers_logo.svg/254px-Wisconsin_Badgers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png
Utah State Aggies,Utah St.,Utah State,328.0,Utah St.,Utah St.,Utah St,Utah St.,Utah St.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/317px-Utah_State_Aggies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png
Florida Atlantic Owls,FAU,FAU,2226.0,Florida Atlantic,Fla. Atlantic,FL Atlantic,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/320px-Florida_Atlantic_Owls_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png
Colorado Buffaloes,Colorado,Colorado,38.0,Colorado,Colorado,Colorado,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png
Texas Longhorns,Texas,Texas,251.0,Texas,Texas,Texas,Texas,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
New Mexico Lobos,New Mexico,New Mexico,167.0,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/New_Mexico_Lobos_logo.svg/195px-New_Mexico_Lobos_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png
Dayton Flyers,Dayton,Dayton,2168.0,Dayton,Dayton,Dayton,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png
Villanova Wildcats,Villanova,Villanova,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/269px-Villanova_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png
Oklahoma Sooners,Oklahoma,Oklahoma,,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png
Colorado St Rams,Colorado St.,Colorado St.,36.0,Colorado St.,Colorado St.,Colorado St,Colorado St.,Colorado St.,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png
Utah Utes,Utah,Utah,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Utah_Utes_logo.svg/263px-Utah_Utes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png
St. John's Red Storm,St. John's,St. John's,,St. John's,St. John's,St. John's,St. John's,St. John's,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png
Wake Forest Demon Deacons,Wake Forest,Wake Forest,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wake_Forest_University_Athletic_logo.svg/320px-Wake_Forest_University_Athletic_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png
Northwestern Wildcats,Northwestern,Northwestern,77.0,Northwestern,Northwestern,Northwestern,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png
Nebraska Cornhuskers,Nebraska,Nebraska,158.0,Nebraska,Nebraska,Nebraska,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Nebraska_Cornhuskers_logo.svg/240px-Nebraska_Cornhuskers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png
Nevada Wolf Pack,Nevada,Nevada,2440.0,Nevada,Nevada,Nevada,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/320px-Nevada_Wolf_Pack_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png
Boise State Broncos,Boise State,Boise State,68.0,Boise State,Boise St.,Boise St,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Boise_State_%22B%22_logo.svg/150px-Boise_State_%22B%22_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png
Indiana St Sycamores,Indiana St.,Indiana St.,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Indiana_State_Sycamores_logo.svg/250px-Indiana_State_Sycamores_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png
Virginia Cavaliers,Virginia,Virginia,258.0,Virginia,Virginia,Virginia,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Virginia_Cavaliers_sabre.svg/320px-Virginia_Cavaliers_sabre.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png
Oregon Ducks,Oregon,Oregon,2483.0,Oregon,Oregon,Oregon,Oregon,Oregon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png
Cincinnati Bearcats,Cincinnati,Cincinnati,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Cincinnati_Bearcats_logo.svg,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png
Pittsburgh Panthers,Pittsburgh,Pittsburgh,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png
Butler Bulldogs,Butler,Butler,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/245px-Butler_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png
Texas A&M Aggies,Texas A&M,Texas A&M,245.0,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png
Iowa Hawkeyes,Iowa,Iowa,,Iowa,Iowa,Iowa,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/320px-Iowa_Hawkeyes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png
Minnesota Golden Gophers,Minnesota,Minnesota,,,Minnesota,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/320px-Minnesota_Golden_Gophers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png
Drake Bulldogs,Drake,Drake,2181.0,Drake,Drake,Drake,Drake,Drake,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png
Bradley Braves,Bradley,Bradley,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/200px-Bradley_Braves_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/71.png
Grand Canyon Antelopes,Grand Canyon,Grand Canyon,2253.0,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Grand_Canyon_Antelopes_logo.svg/320px-Grand_Canyon_Antelopes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png
McNeese Cowboys,McNeese,McNeese,2377.0,McNeese,McNeese,McNeese St,McNeese,McNeese,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/224px-McNeese_State_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png
UC Irvine Anteaters,UC Irvine,UC Irvine,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/227px-UC_Irvine_Anteaters_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/300.png
South Florida Bulls,South Fla.,South Florida,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png
SMU Mustangs,SMU,SMU,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png
Providence Friars,Providence,Providence,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png
Ohio State Buckeyes,Ohio St.,Ohio State,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png
Stanford Cardinal,Stanford,Stanford,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png
Syracuse Orange,Syracuse,Syracuse,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png
